p1	p2	frame	particle	y	x	magnetization	distance
1	160	952.5	80.5	246.7745105118147	432.0519707605994	0.0	58.65590718835001
160	206	1132.5	183.0	244.91065343869354	470.13092967838435	1.0	85.37649151216702
206	439	1600.0	322.5	243.12691692279134	481.8134330036959	1.0	91.2605997469496
439	776	2180.0	607.5	242.67222939479942	476.6966626465927	1.0	62.60811930944335
776	1128	2642.5	952.0	243.6247953891102	453.358258228237	1.0	16.26923968328251
