p1	p2	frame	particle	y	x	magnetization	distance	d_err
2	4	658.0011198208286	3.0	216.3561631569349	330.0619086657053	1.0	97.49932699842812	0.28167426771575865
4	8	1421.625	6.0	210.52950726091157	345.32082690105364	1.0	302.510718413661	0.1570323346162791
6	2	334.0059790732436	4.0	216.30086259791452	310.36098565970747	1.0	117.98023826298206	0.363503877699166
8	17	2294.001287001287	12.5	214.76042739997288	331.5050387030391	1.0	131.35295152298568	0.22398920567601074
17	728	2733.0011534025375	372.5	214.58369736273144	344.2175271603885	1.0	127.68588412365649	0.2553044399358664
55	71	5301.504866180048	63.0	215.9008044207395	328.23846292356296	0.0	126.35122490115353	0.29565077219210256
63	70	4161.508658008658	66.5	215.6636227730647	332.64238257993	1.0	202.98302277444336	0.38155464075477136
64	63	3577.03615819209	63.5	217.2259970542097	321.21773199303493	0.0	127.0880244859689	0.4689761825221572
70	55	4826.505780346821	62.5	216.8408058474305	323.18572637217324	1.0	151.64670544809678	0.49286316494953747
473	64	3260.001668056714	268.5	216.10441118016936	321.6133968999284	0.0	27.15385453678787	0.2425449931413529
728	473	3093.5	600.5	215.35925774228332	336.34344643371867	1.0	21.160543153554784	0.08173394281391684
