p1	p2	frame	particle	y	x	magnetization	distance	d_err
1	4	4940.002316602317	2.5	241.0935015541542	373.3965462137287	1.0	13.071986313775367	0.009354762555587585
33	49	1280.5	41.0	241.13470405355145	362.49831200786804	0.0	134.5934560901433	0.022705528599710305
36	39	479.5	37.5	240.16529664716228	370.3929064294401	0.0	96.24398836150205	0.18958275899516405
38	40	52.05714285714286	39.0	240.61691024864058	244.66130130637993	0.0	16.10952582521176	0.0513699319185226
39	33	872.0011454753723	36.0	240.6870932693768	361.5615203706673	0.0	68.77571560927396	0.06870650418362959
40	36	84.00591715976331	38.0	240.27321417633013	335.64676445714656	0.0	180.46772761728374	0.11525445876146323
43	57	3501.5008291873964	50.0	240.9816439513138	376.3091342596704	0.0	32.47215953997746	0.2150160186778031
44	50	2124.0	47.0	240.72957190891344	369.0841721065854	0.0	40.906240498057	0.02795007842390248
46	1	4769.499107142857	23.5	241.1733724160154	378.84297758937225	0.0	45.78347531042324	0.28963544156182447
48	54	2741.4980842911878	51.0	240.88107708235123	362.0298402719399	0.0	168.30583600913008	0.05463882641763514
49	166	1662.0	107.5	241.59532793634426	378.10079891813507	0.0	83.36225562477712	0.3600631430056232
50	48	2330.0	49.0	240.77289684217683	357.50328799786877	0.0	18.476353690329844	0.1401222700787315
51	53	4153.5	52.0	241.43337988296366	354.56436793477104	0.0	145.66782228852625	0.31066016874993374
53	46	4531.5	49.5	241.42000601281347	371.3425807980817	0.0	77.56647132922211	0.18543821944627162
54	43	3285.4913606911446	48.5	241.07270566889522	367.6443150481778	0.0	78.58092854985917	0.06694755634472245
57	51	3738.5	54.0	240.80234701077848	357.16061247093324	0.0	19.38761326749267	0.14633665491220388
166	44	1962.0007818608287	105.0	242.83414474716196	370.3532913449108	1.0	19.779376915622	0.05517051926881587
