p1	p2	frame	particle	y	x	magnetization	distance
4	14	755.0	9.0	276.49805118250293	362.8347078864818	1.0	60.9222606932576
14	487	1115.0	250.5	275.1525803269826	345.79023822049305	1.0	47.32324911385962
487	502	1265.0	494.5	273.14626841927816	367.7888301198785	1.0	62.05320975703226
502	669	1585.0	585.5	273.48015429416057	352.67535100882566	1.0	17.299781598153835
