p1	p2	frame	particle	y	x	magnetization	distance	d_err
3	202	1277.0	102.5	231.36539861473094	382.58482480962795	1.0	14.591125422264636	0.07970217524073324
164	184	462.5	174.0	232.7934528633382	367.5225205602281	1.0	50.6594348744631	0.04059797379406252
184	231	643.5	207.5	233.0484165129793	384.905275379874	0.0	60.55786605603427	0.03172556755089215
187	729	4069.0	458.0	232.84049006305662	385.88502463165406	1.0	12.469324190418327	0.006927342270574155
231	3	968.5	117.0	232.84694260395437	386.1189698972551	0.0	103.919650788238	0.11435600103888241
