p1	p2	frame	particle	y	x	magnetization	distance	d_err
8	33	1367.5	20.5	228.66615450306145	420.6940724936229	1.0	257.2948354349776	0.09203955897811934
18	20	262.0	19.0	229.36057314637094	395.1325452393021	1.0	92.88670379882016	0.029011016142755388
20	30	474.5	25.0	229.33271341493023	410.26441366762185	1.0	30.303699371779405	0.3184617264704308
30	35	622.5	32.5	229.62126734874204	416.41867428040536	1.0	61.448632167204245	0.10998777138169427
33	80	1976.5	56.5	229.89890468220727	422.4413792453207	1.0	11.937585917344212	0.009083174966983373
35	8	821.5	21.5	229.82555275239514	420.7560974884983	1.0	60.21693626923353	0.02078245089097775
