p1	p2	frame	particle	y	x	magnetization	distance	d_err
1	24	566.0	12.5	230.1642886822589	436.6626423267293	1.0	35.117341895800905	0.2036524776922273
2	3	362.5	2.5	232.81671874615824	405.7952937133068	0.0	49.03291245965148	0.08598918604512222
3	1	510.5	2.0	232.6672402653655	416.2030183182494	0.0	28.0805094904184	0.04027390589798799
5	2	6.5	3.5	232.9881610076388	379.77765511289545	0.0	144.58017732375194	0.021603739104093026
6	11	1934.5	8.5	230.38946304949081	439.0979992988622	1.0	40.63086633093005	0.2351808583996407
7	45	2616.0	26.0	231.0417102308115	425.9187244340008	0.0	186.09573151829358	0.08801927677689284
11	7	2142.0	9.0	230.94663089911575	422.8389913730302	0.0	12.912517826618776	0.018625834264743117
12	53	3277.5	32.5	231.40663772731455	430.0974045475489	0.0	41.20057564312226	0.046182722833818905
24	47	1209.0	35.5	229.64909973413262	427.07213193841915	1.0	171.3971061426155	0.12486991127359208
45	12	3126.5	28.5	231.4012824106043	425.6636623445831	0.0	36.993772527037564	0.04989342665353045
47	6	1708.5	26.5	230.69549624752656	434.347917202257	1.0	82.30001867064217	0.05904193614758657
