p1	p2	frame	particle	y	x	magnetization	distance	d_err
33	41	835.0	37.0	241.3141246914024	351.5866432956353	0.0	42.68800980813574	0.34407700498986604
34	36	483.5	35.0	241.26589259425432	361.16132098588423	0.0	43.290325493716836	0.2871282045139842
35	34	378.5	34.5	243.11847958188295	335.907897013509	1.0	56.72881624805116	0.10282194599863807
36	33	646.0	34.5	241.4740868682712	359.73245020167496	0.0	17.769081350486452	0.07032846501251343
40	54	3316.5007788161993	47.0	241.52477108727945	371.8988990067108	0.0	21.200680733754044	0.14430130448706824
41	44	1149.5	42.5	240.78167634721007	363.10428951021356	0.0	137.49703602433686	0.1460747552314618
44	45	1646.0	44.5	242.55017713443692	363.3037933405171	1.0	151.03229941367545	0.04839822804681094
45	51	2103.0	48.0	241.16423703201502	374.7171417238771	0.0	100.04250117751586	0.3121356820049358
47	28	4629.502227171492	37.5	241.95684907665643	358.6057382142411	0.0	68.15321187934101	0.16774694166272694
49	50	3844.5007552870093	49.5	241.54825423900354	362.3869862919616	0.0	16.57897929866805	0.04411062507549758
50	47	4201.5	48.5	243.53297114591527	359.7489299174159	1.0	114.50060549825541	0.128389618722849
51	52	2571.5	51.5	239.65722543934183	357.8407431527773	1.0	53.08372113572532	0.16777836328003776
52	40	2923.001414427157	46.0	241.83241806230563	372.0763794198531	0.0	135.03086129179152	0.25643328835521956
54	56	3548.494290375204	55.0	241.4120025514239	360.2849209339787	0.0	41.63089756226438	0.14814600696173716
56	49	3660.0	52.5	241.53457350945055	373.64375161011594	0.0	30.772661518128512	0.14737626897623268
