p1	p2	frame	particle	y	x	magnetization	distance
1	6	765.0	3.5	242.98744160381287	391.0810596775724	1.0	61.225200229393884
6	551	1392.5	278.5	242.75103091789433	338.57767862185074	1.0	97.47579916380796
