p1	p2	frame	particle	y	x	magnetization	distance	d_err
12	11	203.5	11.5	213.45735098576367	319.04654928003083	0.0	19.555362949386723	0.11412331087487361
105	131	998.0	118.0	215.41798124859017	373.3318157302049	1.0	66.916445439247	0.08490015102084168
131	195	1311.0	163.0	214.14291235191754	366.14276336230876	0.0	154.14668011490852	0.04194048380509508
346	449	2874.0	397.5	215.37096956307823	365.3162133985788	1.0	225.4209374471966	0.1944645412526957
449	475	3252.5	462.0	215.37542936335464	369.5235990707065	1.0	70.32537810007987	0.13210465833850954
475	487	3392.0	481.0	215.14118573094643	363.7398686420686	1.0	13.163682556682398	0.02262846508297991
487	507	3500.003273322422	497.0	214.9891534244602	360.14488830316395	1.0	53.13615802937946	0.23708176529694727
