p1	p2	frame	particle	y	x	magnetization	distance	d_err
7	271	245.2117117117117	139.0	213.2448241163433	318.41872050286844	0.0	30.930302225703283	0.2629947901125532
271	23	282.0	147.0	210.90233004148791	323.10573058636396	1.0	57.77850845273335	0.1561575977485394
430	1579	732.5	1004.5	213.51239339940068	322.11028409011317	0.0	31.212541431138007	0.15055445344363516
505	248	212.86138613861385	376.5	213.5157894050836	312.61428601455316	0.0	20.45604752083853	0.18536326750602142
661	21	188.0	341.0	212.5165901504372	251.34345202904686	1.0	44.15927544471054	1.6474570710863041
744	236	328.92543859649123	490.0	213.00246286396788	329.24744465865774	0.0	23.890325461985192	0.2464864866806367
939	1046	427.33490566037733	992.5	214.88931084958676	319.07557965674687	1.0	37.15490554386017	0.1826500865725464
1046	839	451.5	942.5	213.28480287496555	323.1720837539879	0.0	23.70339694435719	0.15250111350255904
1422	1436	625.3632286995515	1429.0	213.37382176079575	313.23106318419093	0.0	24.207145112274397	0.3957195130558696
1436	1626	644.5	1531.0	213.2669712248353	321.38500040400413	0.0	35.184262913653896	0.1979827014349621
1558	1511	585.6075949367089	1534.5	213.49471921045202	310.5746273664808	0.0	36.78050013503123	0.48386665596364303
1579	1780	754.0	1679.5	213.51026394695143	323.49559729131835	0.0	19.589402478989424	0.2777835822310434
1580	430	707.0	1005.0	213.5160025952017	322.52260885688366	0.0	23.126084264250256	0.10217137525003128
1587	1580	686.0	1583.5	213.34402522443452	322.5661237579054	0.0	21.695603203484847	0.06995790694098769
1626	1587	664.5	1606.5	213.1801460852904	325.5832628329137	0.0	19.04021903150364	0.25550982624142965
1780	1364	793.0	1572.0	210.98328401404132	316.6966159966036	1.0	53.572881042291456	0.20628871292157505
1856	2124	885.0	1990.0	210.94263526240582	320.5266779079371	1.0	55.68378696001046	0.16482619897855205
2216	1856	862.859375	2036.0	213.37162993901953	306.8679962626998	0.0	20.883833995964803	0.1165887394045582
2407	1149	947.9402985074627	1778.0	213.35405267044067	313.4606574054166	0.0	20.098989487121564	0.325430814332752
2514	2632	1074.2536585365854	2573.0	210.80526517911053	331.53640091685514	1.0	46.135661481580506	0.4800125072052612
2567	2514	1020.7434210526316	2540.5	212.45573175246753	336.5810416618148	1.0	65.36000927488811	0.5393361153958179
