p1	p2	frame	particle	y	x	magnetization	distance	d_err
6	47	4742.506211180124	26.5	240.8322372099495	363.2112767914033	1.0	108.24598982555327	0.06932717825663404
27	40	2614.4957627118642	33.5	238.95600404158324	360.3456132932352	1.0	96.75570991081294	0.10281466536004186
35	49	1420.0036330608539	42.0	240.64206093124136	374.8791700838986	0.0	31.928198403499056	0.16866200058826628
37	27	2209.9974842767297	32.0	240.77338229230588	368.9237340412752	0.0	79.60159599301682	0.07368417005812992
40	845	2877.5	442.5	240.55171838347007	360.8594990390209	0.0	38.02803812017725	0.07902361671930107
42	43	331.0086455331412	42.5	238.60766195465553	366.02200800865313	1.0	200.3723223220368	0.07715459431406703
43	35	1095.9829457364342	39.0	240.76760347981187	366.8903402445758	0.0	134.10948418400102	0.05637042644472684
46	37	1854.8458274398868	41.5	242.46663156674242	365.0562553771442	0.0	103.21256351835154	0.1381804133123353
47	51	5088.001331557923	49.0	241.29521558653795	359.65794684598995	0.0	67.45353152139047	0.1255277914154681
49	46	1575.3047138047139	47.5	240.53898815873814	365.43945528803965	1.0	15.635298770159649	0.016893861734453883
51	1116	5409.50350877193	583.5	241.6488419121902	373.9714318639787	0.0	140.23178610369754	0.3334936284538328
845	1177	3230.5255319148937	1011.0	242.3205601210695	364.8426424548624	1.0	155.04857291626817	0.05404692072426194
1116	11	5814.996560619089	563.5	240.800033034925	372.82645718012463	0.0	30.894687836283847	0.1107888119549518
1398	6	4456.9979144942645	702.0	239.03743736462096	358.35519259797695	0.0	46.43025434604134	0.2510452863134051
