p1	p2	frame	particle	y	x	magnetization	distance	d_err
70	71	142.0	70.5	245.93310601690033	206.71503467116142	0.0	36.43298241829849	0.03101826417985888
71	72	233.01927194860815	71.5	244.64355875197302	244.57909567200886	0.0	86.91362263989	0.19377911634835973
72	73	359.5	72.5	244.4225164424189	275.61312654765857	0.0	49.199110636319176	0.07244702531228966
73	88	440.5	80.5	244.7519701713766	285.6465300220668	0.0	19.039468381363765	0.09972874333558095
88	75	485.0010298661174	81.5	245.12187331040016	290.8254629591124	0.0	16.941489679022496	0.07036766568298572
