p1	p2	frame	particle	y	x	magnetization	distance	d_err
2	4799	5930.672995780591	2400.5	245.4545172424309	287.22934849705786	1.0	12.100349774186935	0.025574541231659063
72	90	2865.5	81.0	246.73642191603184	287.14008360461446	1.0	21.45639585959693	0.11692958778418606
80	621	3782.5077821011673	350.5	246.64079226791142	291.4176104728666	1.0	143.50579357160058	0.21619455841305618
621	2582	4084.5	1601.5	246.57576180285585	289.1756136470588	1.0	23.168527853669932	0.1274413409056763
1320	4016	4700.5	2668.0	246.60453363186306	290.4123309930801	1.0	179.62872027084902	0.10088525686175885
1574	4143	5216.5	2858.5	244.46300964564983	283.6225756418348	0.0	23.450862761504144	0.217921955225946
1795	80	3570.403823178017	937.5	246.1917868659914	269.44612242057576	1.0	38.40675498299565	0.3672310549413532
2399	83	3311.7912087912086	1241.0	243.7940966180966	291.534574407506	1.0	12.838838801626329	0.03263747500535226
2506	1320	4289.001459854015	1913.0	246.44931062893656	293.57370063325163	0.0	69.47941133958481	0.17280143921468208
2582	2506	4168.533333333334	2544.0	245.97185029630424	287.04450307936224	0.0	24.149046050209986	0.1632124013050808
2790	3118	6689.0	2954.0	246.571005034051	285.3212994038493	1.0	101.87795901679489	0.2518939061912031
3118	5653	6903.0	4385.5	244.86650504558983	299.97157307541113	0.0	81.89396323450059	0.2575472696503776
3959	4516	5507.253947368421	4237.5	244.0368296302004	285.34210335620463	1.0	50.229236171332474	0.18748529713556494
4016	1574	4985.501322751323	2795.0	244.77189608594765	307.5394191838202	0.0	50.12500584670646	0.4670268196484779
4143	3959	5289.5	4051.0	244.54190570222352	296.9249343379596	0.0	46.53675350316675	0.16005234621034545
4516	2	5725.0	2259.0	244.8785806618312	291.17524650743184	0.0	94.48863325946299	0.10989501498774164
4799	5179	6115.507042253521	4989.0	245.095518045679	282.692457350202	1.0	84.56517432903068	0.24041269334258453
4812	2790	6396.0	3801.0	245.14974579904793	295.8400901010913	0.0	47.85112362990863	0.07550640341659555
5179	4812	6258.502347417841	4995.5	244.97875710424677	296.53329458489736	0.0	31.08824949623516	0.11617997345505708
