	magnetization	distance	angle
3	0.0	87.34876004554606	70
4	0.0	54.54755482577814	70
0	0.0	19.585092564965336	80
0	0.0	23.418344469528193	80
0	1.0	86.52380161922544	80
1	1.0	77.090344979977	80
2	0.0	32.1424051483667	80
3	0.0	51.981221225671646	80
4	0.0	54.80488369281025	80
5	1.0	203.95535904807858	80
6	0.0	106.72483916931515	80
7	1.0	101.45140218508972	80
8	0.0	111.90303589304163	80
9	1.0	58.61173649496384	80
10	0.0	129.17055831107822	80
11	1.0	32.42430873361014	80
0	0.0	26.57490564887209	80
0	0.0	21.25687352163072	80
0	1.0	61.20859804124956	80
0	0.0	15.353515664282552	80
0	1.0	98.78116212006388	80
1	0.0	52.39399016486523	80
2	0.0	97.62618955893879	80
3	0.0	85.88083976325719	80
4	0.0	52.63791725636739	80
5	0.0	16.485578696011167	80
6	1.0	99.13752965896029	80
7	0.0	69.75440492060217	80
8	0.0	130.09132091028806	80
9	0.0	259.7761732275065	80
10	1.0	142.64124895942342	80
11	0.0	30.77935596318812	80
12	0.0	65.57503335292989	80
13	0.0	88.66434465046027	80
14	0.0	88.07478286580164	80
0	1.0	254.48219009087455	90
0	1.0	195.35199142458492	90
0	1.0	239.31754780373345	90
1	0.0	35.8129400721944	90
2	1.0	122.29787151703405	90
3	1.0	75.89634574924962	90
4	1.0	108.6187207961866	90
5	0.0	22.524756816739806	90
6	1.0	247.804367340288	90
0	0.0	121.10813786400459	90
1	1.0	39.011613025043076	90
0	0.0	202.8454525387756	90
1	1.0	21.62495664369168	90
2	0.0	89.52576261062703	90
3	0.0	36.53439545201901	90
4	0.0	24.239154925060767	90
5	1.0	82.78659271167163	90
6	1.0	30.029504168053684	90
7	1.0	122.79508575206934	90
8	1.0	169.09385223590917	90
9	1.0	42.20247905366424	90
10	0.0	46.94102129653519	90
11	0.0	45.778755052050826	90
0	1.0	238.3817786981612	90
1	0.0	38.37513521354021	90
0	0.0	19.853414368640745	90
