p1	p2	frame	particle	y	x	magnetization	distance	d_err
3	1	4999.0	2.0	239.60237609165705	379.03898722943165	1.0	72.75400062573257	0.3322421653306635
6	3	4663.001360544217	4.5	239.67215542654947	359.7742221302124	1.0	115.08325227861505	0.20140156734864686
8	50	6178.5	29.0	241.21306661181313	359.7845613962371	0.0	95.88522204639663	0.014544886647172536
10	2	6662.0	6.0	240.65175046677402	353.82562831522137	0.0	38.27126226754759	0.24963668415574033
12	43	3254.497252747253	27.5	241.65288197870828	371.8492216470557	0.0	156.86892099839275	0.2425105608278019
26	6	4120.00310237849	16.0	240.06413634435293	378.82911700791925	1.0	57.77482409610342	0.3762042099299784
27	8	5835.998930481283	17.5	239.24190494295576	369.1435553949206	1.0	54.38164643908255	0.03590247781923989
35	41	1524.5084905660378	38.0	243.28612076088498	367.3396519684283	1.0	70.05628718025689	0.07532796825443677
38	46	657.9967426710098	42.0	240.65110708738305	376.4906567593022	0.0	176.82869174526363	0.3835629483023532
39	38	348.5	38.5	240.87664039396168	351.54159620454027	0.0	47.889936743320334	0.11731657030504528
41	53	1831.0016597510373	47.0	241.45731311539393	358.10205301577923	0.0	27.522716786120387	0.15542945988954618
43	49	3737.501096491228	46.0	243.2650615853394	360.2183905629456	1.0	60.490174177678504	0.055834526877769436
45	35	1335.5	40.0	241.25796898323645	362.1966456364087	0.0	16.68380745520957	0.0340140374122907
46	45	1224.0	45.5	239.30633876052593	358.7085414456115	1.0	34.502765225486726	0.036248546224550135
47	27	5625.579876434245	37.0	241.5045669172829	379.9995316950792	0.0	15.470141537541751	0.08175408846452847
48	51	2376.5011655011654	49.5	241.08747818497898	373.31830347919663	0.0	103.13987191227012	0.19081610478781275
49	26	3997.5010615711253	37.5	241.98087516168644	356.6262635147946	0.0	48.23207617373934	0.23481847365702985
50	10	6462.003427592116	30.0	241.20341360992356	362.0022531087983	0.0	26.872147118918722	0.016000688636732294
51	52	2732.500910746812	51.5	240.95554677558383	370.62665915482876	0.0	22.512620818786846	0.2035016163763555
52	12	2871.5	32.0	241.21226764517684	373.6956221222451	0.0	46.503023392601165	0.15121175620283367
53	48	2015.4990118577075	50.5	241.46657632346674	365.1837895556063	0.0	64.47807414009064	0.042324186591637676
