p1	p2	frame	particle	y	x	magnetization	distance	d_err
26	2185	5356.492146596858	1105.5	238.94254554420866	374.5284246164824	1.0	98.78116212006387	0.3681330632388163
40	1399	3730.49794661191	719.5	240.11908754899133	374.0102579052952	0.0	52.39399016486523	0.3685120464334076
41	48	639.0014104372356	44.5	240.19652024040104	374.1100972336561	0.0	97.62618955893878	0.38377612382189835
43	44	285.51223776223776	43.5	240.7683148170922	329.160291542745	0.0	85.88083976325719	0.20149243833647074
44	41	441.5096852300242	42.5	240.3880831020113	356.69029269909845	0.0	52.63791725636739	0.146481562714146
45	43	253.0078895463511	44.0	239.95286846091815	285.6213381697251	0.0	16.485578696011167	0.030328557025792513
46	45	23.67391304347826	45.5	237.99230489987372	277.55888762028826	1.0	99.13752965896029	0.11509878889108861
47	1116	2808.507510729614	581.5	240.2459935389782	368.7667268329033	0.0	69.75440492060217	0.26093200052391113
49	26	5006.186170212766	37.5	240.55817589743685	356.71964221914436	0.0	130.09132091028803	0.13048120478356015
50	740	1540.0333333333333	395.0	238.78909111424403	361.4931206581366	0.0	259.7761732275065	0.1219708861604372
55	40	3417.441005802708	47.5	240.37574382201805	358.790679590564	1.0	142.6412489594234	0.17665097980618902
740	811	2158.992443324937	775.5	240.65517971113474	372.65489165946127	0.0	30.77935596318812	0.18636540737096122
775	47	2583.1050767414404	411.0	240.4953789890097	358.2659998265767	0.0	65.57503335292989	0.38385519454036643
1680	1756	4342.2796875	1718.0	240.42478234047613	333.82078416968164	0.0	88.66434465046027	0.4118794250039308
1756	49	4552.004103967169	902.5	240.37745685264824	364.6176308343147	0.0	88.07478286580164	0.10459772431840995
