p1	p2	frame	particle	y	x	magnetization	distance	d_err
8	86	3084.5	47.0	216.23129200658067	319.7562915296727	1.0	112.69839719353577	0.5466150538229954
26	33	979.5381426202322	29.5	217.92359801262876	355.36194794308284	0.0	11.02791451157623	0.027469232505448405
27	41	2541.5	34.0	216.77092587680178	338.2712944553406	1.0	76.71305725417199	0.30118167635846116
28	24	568.5023696682465	26.0	215.2841180263019	369.9077009938184	1.0	102.8151680043303	0.5860014279460505
33	147	1213.0097165991904	90.0	216.28323000660737	341.24746097719816	0.0	58.69133579824385	0.1882733922213481
39	27	2067.0	33.0	215.2839820726546	350.34592041969773	1.0	125.1065962523211	0.33268293523902404
41	8	2722.0026809651476	24.5	216.85873089986248	340.5103464906894	1.0	30.21078110595264	0.21493407519729796
86	1967	3511.5017921146955	1026.5	215.82240772226402	338.0271913423041	1.0	173.5367693779182	0.21608337611512807
147	39	1700.334975369458	93.0	217.559631110634	326.5421498479781	0.0	126.86952748503026	0.5033725802651966
307	15	6223.009661835748	161.0	214.96745084827901	346.6720548393113	1.0	178.00778734932607	0.1873216738837573
1967	72	3881.5028790786946	1019.5	216.435802730373	337.07804792857064	0.0	29.665607838611947	0.14911841769753165
2053	307	5570.5	1180.0	214.95220832329605	349.0450805439593	1.0	149.6431621614915	0.16644001577208917
