p1	p2	frame	particle	y	x	magnetization	distance	d_err
10	11	279.0	10.5	216.6200133632013	364.09971108728985	1.0	88.76528447510304	0.041331786210980666
11	32	517.4986225895317	21.5	216.49316861715153	363.40962335557776	1.0	55.33221111467982	0.0365497982012608
32	116	869.5075757575758	74.0	216.52691206113812	365.8119127399014	1.0	155.53623440614368	0.07740702747254115
116	154	1219.4965870307167	135.0	216.61319675070783	372.14432955278687	1.0	80.26172550578504	0.0819568008815433
154	251	1650.0149812734082	202.5	216.72897324797262	365.94973679210585	1.0	188.33742742754086	0.08394225346044319
251	380	2306.5	315.5	217.05553227072792	365.8622290634746	1.0	224.45464397997156	0.06042931976962643
380	445	2843.5026737967914	412.5	217.07518180671144	369.95558387788935	1.0	141.1031730612721	0.1566570046645117
