p1	p2	frame	particle	y	x	magnetization	distance	d_err
1	390	2339.4867924528303	195.5	239.20206233099714	373.1229140147796	1.0	86.52380161922544	0.23947298491250246
23	43	1445.4950166112956	33.0	239.0716588411069	371.9058384597526	1.0	77.090344979977	0.30576976030536096
32	42	805.9947848761408	37.0	240.45311775302696	375.59026528775615	0.0	32.1424051483667	0.10961281139683837
33	1	2071.501377410468	17.0	240.50575603474218	377.1942572146172	0.0	51.98122122567165	0.09326998224138087
37	40	169.53529411764706	38.5	240.1118615026236	329.42342055217676	0.0	54.80488369281025	0.15971931511458928
38	770	3253.294117647059	404.0	240.2011100022613	383.2935926845539	1.0	203.9553590480786	0.2452755551369457
40	45	253.50393700787401	42.5	240.9134802572912	385.52049314739446	0.0	106.72483916931516	0.2807225997256992
42	23	995.4964157706094	32.5	238.82956842238085	387.9472004703419	1.0	101.45140218508972	0.2820559300976322
43	33	1699.006289308176	38.0	241.16764997039547	389.01959439458807	0.0	111.90303589304162	0.313988757710919
45	32	633.5083798882681	38.5	242.13432304600937	376.28604545841125	1.0	58.61173649496384	0.12662427040042215
390	38	2629.4948186528495	214.0	241.07828935351503	386.0488557499206	0.0	129.17055831107822	0.29038891001161293
770	12	3796.5	391.0	240.963238124554	384.49572902700584	1.0	32.42430873361014	0.04658003595807024
