p1	p2	frame	particle	y	x	magnetization	distance	d_err
1	28	6481.502770083102	14.5	241.14534436853424	368.64374692151756	1.0	65.28492144842781	0.033084369338237773
2	4	4833.005063291139	3.0	239.59224722655077	362.0786494956142	1.0	15.605670747948656	0.07970190040637803
4	56	4937.0017777777775	30.0	241.70907143007938	365.9424569127122	0.0	36.78805181540287	0.07488234350436249
6	1203	5663.5020202020205	604.5	241.86713430084336	382.2651489315629	0.0	44.88134241013131	0.29925535110085605
26	58	4152.5	42.0	240.47437306147629	366.6822932180734	1.0	123.79064619211029	0.04531015146308912
27	26	3670.0	26.5	239.58136623981824	362.4008584594698	1.0	153.58627356422414	0.2691494937422468
39	41	335.5	40.0	240.7718408941962	308.23912119981844	0.0	20.412144800562885	0.04402270184546949
40	43	508.5	41.5	240.6327864188327	380.6274491576518	0.0	110.16787732697327	0.37468693028940353
41	40	382.0	40.5	240.47661451800127	333.4298237692503	0.0	48.70139512435721	0.3153362881842259
43	47	1048.5	45.0	239.3438161933291	369.6396966983965	1.0	83.89233590865841	0.08346713219072466
44	55	1742.2716894977168	49.5	240.97815044974683	356.2419110303325	0.0	79.24050938157275	0.3313504402844835
47	48	1305.5	47.5	241.20574534026068	366.95063273308773	0.0	13.070318124745944	0.007915345442925978
48	44	1387.5	46.0	242.89532786344984	371.2694631417123	1.0	28.95548791993655	0.0335831782371774
50	52	2662.5	51.0	241.84934721624347	354.3107113076679	0.0	61.10267955191062	0.32422828692036254
51	6	5443.5	28.5	241.32821606349196	369.89768905950007	0.0	90.22453060486912	0.08225259293250524
52	403	2867.5	227.5	242.5381170581984	380.19936681275834	0.0	96.96995182813077	0.4065848487008361
53	50	2400.5	51.5	240.96246303234244	367.81517648838616	0.0	20.292330425511448	0.054053251449268404
55	53	2096.08935128519	54.0	239.34179917844605	366.476820710797	1.0	106.72067710999578	0.16818651717274583
56	51	5215.501131221719	53.5	242.83321143912906	354.6808910287243	1.0	59.50191960886976	0.3099980224757372
58	2	4472.5	30.0	239.9790029074603	383.549692278719	1.0	88.26642840211645	0.44499982727003684
403	27	3237.503355704698	215.0	241.271533265013	367.0249043106264	0.0	19.88242634735225	0.09872123059265114
1203	1	6157.0	602.0	241.82366992608326	362.9581246346212	0.0	127.36024452976582	0.2177022113906132
