p1	p2	frame	particle	y	x	magnetization	distance	d_err
31	36	2184.0711841204657	33.5	242.931555357568	362.3636817827904	1.0	159.38802294990086	0.0567291124503288
33	32	702.5042674253201	32.5	243.19210035222306	300.61127178696177	1.0	38.526197074158624	0.03503128161840842
34	33	315.5189873417722	33.5	241.40310773657833	282.51014583759127	0.0	65.52709282577709	0.037833392679013166
35	34	148.51006711409397	34.5	239.2679994662801	248.69413949649186	1.0	32.62280149126605	0.059588232961591124
36	39	3973.000652315721	37.5	244.10074859170214	364.7431784808015	1.0	149.50317370151126	0.038312945251037775
39	48	5215.5053097345135	43.5	242.48136688755193	354.73126894602893	0.0	56.418574992148095	0.08899156813513846
42	41	7698.005893909627	41.5	243.52108688062148	370.6138956965441	0.0	71.15644873997026	0.024130681976755664
45	47	5963.498007968127	46.0	241.40349019786552	375.4373032340474	1.0	45.21853825206859	0.2120676665101388
47	42	6931.998147004324	44.5	242.1401219083697	369.769050321897	0.0	116.23199497532998	0.018681483369912343
48	45	5664.498699045967	46.5	241.8104977087499	360.4051490424762	1.0	47.391175190362496	0.027930248673578517
188	31	1474.8702229299363	109.5	242.38349212577222	338.4079876976587	1.0	12.803807726844921	0.013804920467421393
