	v_e	v_c	v_b
0	23.549670516994784	20.165561386898872	14.619160919089074
1	16.209692369867227	24.08808035673163	13.647157764938544
2	19.658194808678516	23.052148989341386	14.848935215779804
3	13.659002576729474	15.546564844479498	15.233975899042616
4	12.205322243196028	15.810948494950345	12.980866377674596
