flow	v_e	v_c	v_b
0.5	16.88729007383821	13.557946413961586	12.559478457911942
1.0	17.056376503093208	19.732660814480347	14.266019235304928
1.5	13.00607216693439	22.919850699408126	14.161999841607763
2.0	13.78382296035229	27.038921440177035	15.349302875747682
2.5	21.817439230338266	33.10299773797426	19.81962421886635
3.0	19.36614228911203	35.41862825473634	20.93125553196615
