flow	v_e	v_c	v_b	v_c(m/s)	Force(N)
0.5	16.88729007383821	13.557946413961586	12.559478457911942	1.3557946413961586e-05	2.4048315423363433e-12
1.0	17.056376503093208	19.732660814480347	14.266019235304928	1.9732660814480345e-05	3.5000673178660888e-12
1.5	13.00607216693439	22.919850699408126	14.161999841607763	2.2919850699408126e-05	4.065392960309759e-12
2.0	13.78382296035229	27.038921440177035	15.349302875747682	2.7038921440177036e-05	4.796010337017724e-12
2.5	21.817439230338266	33.10299773797426	19.81962421886635	3.3102997737974274e-05	5.871621754175985e-12
3.0	19.36614228911203	35.41862825473634	20.93125553196615	3.541862825473633e-05	6.282355145286865e-12
