	d_Ninter(um)	t_Ninter(s)
0	118.76962092017524	0.0
1	118.79360947873823	0.03333333333333333
2	118.57399724037566	0.06666666666666667
3	118.87835379088786	0.1
4	118.79508950272155	0.13333333333333333
5	118.73691824582319	0.16666666666666666
6	118.97305506714947	0.2
7	118.9002161770476	0.23333333333333334
8	119.18277714433968	0.26666666666666666
9	119.45484859415127	0.3
10	119.4143268373739	0.3333333333333333
11	119.38660619088003	0.36666666666666664
12	119.40909022088577	0.4
13	119.67598038193098	0.43333333333333335
14	120.08577849058463	0.4666666666666667
15	120.06137961480012	0.5
16	120.16925334395886	0.5333333333333333
17	120.23886223493584	0.5666666666666667
18	120.54480028124962	0.6
19	120.70177870109246	0.6333333333333333
20	120.98121616810197	0.6666666666666666
21	121.0753754787765	0.7
22	121.40918455258787	0.7333333333333333
23	121.59505262007005	0.7666666666666666
24	121.55922600696788	0.8
25	121.78157959042522	0.8333333333333334
26	121.81144866308301	0.8666666666666667
27	121.65133325558658	0.9
28	121.7572747759231	0.9333333333333333
29	122.11035155059285	0.9666666666666667
30	121.72551618400668	1.0
31	121.66961985191222	1.0333333333333332
32	121.65468260048213	1.0666666666666667
33	121.81302493713386	1.1
34	121.80227757592739	1.1333333333333333
35	121.88550474661001	1.1666666666666667
36	121.85316874637775	1.2
37	121.96962007626763	1.2333333333333334
38	122.2105653379564	1.2666666666666666
39	122.1434939967027	1.3
40	121.76370778794178	1.3333333333333333
41	121.99742729760686	1.3666666666666667
42	122.04314110555701	1.4
43	122.15299249690432	1.4333333333333333
44	121.98736937683259	1.4666666666666666
45	121.98941091254927	1.5
46	121.96777788370316	1.5333333333333332
47	121.78883733684626	1.5666666666666667
48	121.80762786871973	1.6
49	121.76562883748267	1.6333333333333333
50	121.68599515280337	1.6666666666666667
51	121.71460573804666	1.7
52	121.15128977741772	1.7333333333333334
53	121.59959029389877	1.7666666666666666
54	121.50699141590785	1.8
55	121.37257807662532	1.8333333333333333
56	121.2021832985423	1.8666666666666667
57	121.3021176016768	1.9
58	121.06232856053715	1.9333333333333333
59	121.09721521289389	1.9666666666666666
60	121.10249971976864	2.0
61	121.06153178315085	2.033333333333333
62	120.63813520254575	2.0666666666666664
63	120.29399183775065	2.1
64	120.08097619918827	2.1333333333333333
65	120.29806347471953	2.1666666666666665
66	119.89539010638352	2.2
67	119.94820029368277	2.2333333333333334
68	119.92976735410753	2.2666666666666666
69	119.80182856121722	2.3
70	119.63971993931004	2.3333333333333335
71	119.47590129637639	2.3666666666666667
72	119.28330700406731	2.4
73	119.29177231975909	2.433333333333333
74	119.30715111872144	2.466666666666667
75	119.2439735172657	2.5
76	119.2034169447335	2.533333333333333
77	119.18894242035768	2.5666666666666664
78	119.24432932158193	2.6
79	118.93301491499889	2.6333333333333333
80	119.2478579109947	2.6666666666666665
81	118.77862598357072	2.7
82	118.84481491395292	2.7333333333333334
83	118.6407767551439	2.7666666666666666
84	118.37585950232373	2.8
85	118.6058631596137	2.8333333333333335
86	118.51723533477691	2.8666666666666667
87	118.68550747908421	2.9
88	118.77201977881529	2.933333333333333
89	118.34651077571087	2.966666666666667
90	118.3982479599092	3.0
91	118.32254577873124	3.033333333333333
92	118.3201302215256	3.0666666666666664
93	118.06643310153096	3.1
94	117.83790452822214	3.1333333333333333
95	117.94166759655414	3.1666666666666665
96	117.98574311353039	3.2
97	118.07966191422844	3.2333333333333334
98	118.0750006726403	3.2666666666666666
99	118.26766954331397	3.3
100	118.066747620636	3.3333333333333335
101	118.102684524672	3.3666666666666667
102	118.17984127948915	3.4
103	118.11672325781754	3.433333333333333
104	118.01599632902773	3.466666666666667
105	117.68351758288415	3.5
106	117.72657400738841	3.533333333333333
107	117.4176703109355	3.5666666666666664
108	117.44373203470641	3.6
109	117.76484188693144	3.6333333333333333
110	117.6968765841506	3.6666666666666665
111	117.86291988839444	3.6999999999999997
112	117.71412100674208	3.7333333333333334
113	117.94246954895983	3.7666666666666666
114	117.710351791602	3.8
115	117.69340890883697	3.8333333333333335
116	118.02813442042095	3.8666666666666667
117	118.15371776304826	3.9
118	117.97315025458568	3.933333333333333
119	118.06342078617695	3.966666666666667
120	118.19777289553123	4.0
121	117.64746063951239	4.033333333333333
122	117.98151239678516	4.066666666666666
123	117.68586904813598	4.1
124	117.70958400935686	4.133333333333333
125	117.77560726486406	4.166666666666667
126	117.6891060870959	4.2
127	117.45922900618271	4.233333333333333
128	117.56413610679466	4.266666666666667
129	117.55993528331827	4.3
130	117.3545989153186	4.333333333333333
131	117.53477061187378	4.366666666666666
132	117.65530935675602	4.4
133	117.72948056610508	4.433333333333334
134	117.74431923155213	4.466666666666667
135	117.37034122346743	4.5
136	117.72539122751932	4.533333333333333
137	117.89020310983128	4.566666666666666
138	117.98461639294263	4.6
139	117.90605362139901	4.633333333333333
140	117.64756324655593	4.666666666666667
141	117.29017692349102	4.7
142	117.07975509262901	4.733333333333333
143	116.4394139097358	4.766666666666667
144	116.59396265644945	4.8
145	116.56108174516824	4.833333333333333
146	116.218948591945	4.866666666666666
147	116.38049248248267	4.9
148	115.77889173027913	4.933333333333334
149	115.80499939410329	4.966666666666667
150	115.2798763807536	5.0
151	115.51810150184832	5.033333333333333
152	115.41820728106418	5.066666666666666
153	115.20277254881367	5.1
154	115.01213318470339	5.133333333333333
155	115.00547287980233	5.166666666666667
156	114.82819452293651	5.2
157	114.58173185440423	5.233333333333333
158	114.53669105870368	5.266666666666667
159	114.51910479598028	5.3
160	114.32771780536706	5.333333333333333
161	114.40544128865602	5.366666666666666
