id	FRAME	POSITION_X	POSITION_Y	t	y	delta_r	delta_t	v
2	153	149.79905896749545	219.49607420212325	0.0	219.49607420212325	0.0	0.03333333333333333	0.0
3	153	154.62783438828782	196.40865310384197	0.0	196.40865310384197	0.0	0.03333333333333333	0.0
2	154	149.76518675136575	218.6387750031673	0.03333333333333333	218.6387750031673	0.7349991033562131	0.03333333333333333	22.049973100686394
3	154	154.7468936955344	195.4424601770767	0.03333333333333333	195.4424601770767	0.9474531619870271	0.03333333333333333	28.423594859610812
2	155	149.73739309000146	217.8278306070211	0.06666666666666667	217.8278306070211	0.657049160142594	0.03333333333333333	19.71147480427782
3	155	154.65850324733304	194.61729306196582	0.06666666666666667	194.61729306196582	0.6874495600614888	0.03333333333333333	20.623486801844667
2	156	149.70076963570978	217.0841420414548	0.1	217.0841420414548	0.5528053612441475	0.03333333333333333	16.584160837324426
3	156	154.74781521924587	193.8090384915241	0.1	193.8090384915241	0.6599061138033381	0.03333333333333333	19.797183414100143
2	157	149.5106336520681	216.38055588119443	0.13333333333333333	216.38055588119443	0.5295323150423092	0.03333333333333333	15.885969451269277
3	157	154.7302166385179	192.96013925109656	0.13333333333333333	192.96013925109656	0.7197785307112172	0.03333333333333333	21.593355921336517
2	158	149.51393013800242	215.54307604214802	0.16666666666666666	215.54307604214802	0.7001588849254616	0.03333333333333333	21.00476654776385
3	158	154.86474437146055	192.14101455998158	0.16666666666666666	192.14101455998158	0.6877999683598972	0.03333333333333333	20.633999050796916
2	159	149.52415625194254	214.59515854086888	0.2	214.59515854086888	0.8981792326672362	0.03333333333333333	26.945376980017087
3	159	155.00850803528868	191.29562402008602	0.2	191.29562402008602	0.7342404389901314	0.03333333333333333	22.02721316970394
3	160	154.806163732328	190.61363954769368	0.23333333333333334	190.61363954769368	0.5043509287104241	0.03333333333333333	15.130527861312723
2	160	149.41506327358056	213.9546967093953	0.23333333333333334	213.9546967093953	0.4203029885938422	0.03333333333333333	12.609089657815266
3	161	154.619720614666	189.86604510639611	0.26666666666666666	189.86604510639611	0.5921354843865131	0.03333333333333333	17.764064531595395
2	161	149.69921494244767	212.8362248173996	0.26666666666666666	212.8362248173996	1.3336022041223694	0.03333333333333333	40.008066123671085
3	162	154.54874630685566	189.08115553218326	0.3	189.08115553218326	0.6196334864815122	0.03333333333333333	18.589004594445367
2	162	149.66329114132762	212.004422725889	0.3	212.004422725889	0.6919350114381904	0.03333333333333333	20.75805034314571
3	163	154.36709950863164	188.26694215154654	0.3333333333333333	188.26694215154654	0.6946973622703372	0.03333333333333333	20.840920868110114
2	163	149.66812797070568	211.09131888808983	0.3333333333333333	211.09131888808983	0.8330357031365379	0.03333333333333333	24.991071094096135
2	164	149.7107606492739	210.1060011019001	0.36666666666666664	210.1060011019001	0.9725359129382134	0.03333333333333333	29.176077388146403
3	164	154.14794532755846	187.23284149900573	0.36666666666666664	187.23284149900573	1.1180038639855558	0.03333333333333333	33.540115919566674
2	165	149.79837874005662	209.37772140264855	0.4	209.37772140264855	0.5364279909875742	0.03333333333333333	16.092839729627226
3	165	153.9202783812644	186.36301367323708	0.4	186.36301367323708	0.8075862271349074	0.03333333333333333	24.22758681404722
2	166	149.85079406789654	208.37552886404148	0.43333333333333335	208.37552886404148	1.0071725359774728	0.03333333333333333	30.215176079324184
3	166	153.74044459188718	185.52969422913085	0.43333333333333335	185.52969422913085	0.7256197606942365	0.03333333333333333	21.768592820827095
2	167	149.96678499054002	207.58720528622186	0.4666666666666667	207.58720528622186	0.6334887318622804	0.03333333333333333	19.00466195586841
3	167	153.7241088715347	184.6334348212172	0.4666666666666667	184.6334348212172	0.8026824734902445	0.03333333333333333	24.080474204707333
3	168	153.7492223519631	183.84754949912215	0.5	183.84754949912215	0.6167836403648373	0.03333333333333333	18.503509210945122
2	168	149.9708809782194	206.88685720326126	0.5	206.88685720326126	0.4887860510892378	0.03333333333333333	14.663581532677133
2	169	149.90116335502486	206.20763996629418	0.5333333333333333	206.20763996629418	0.4644472824092322	0.03333333333333333	13.933418472276967
3	169	153.79937094013647	183.00622766744357	0.5333333333333333	183.00622766744357	0.7091415237589545	0.03333333333333333	21.274245712768632
3	170	153.8536561397784	182.1439966086023	0.5666666666666667	182.1439966086023	0.7453145558123888	0.03333333333333333	22.359436674371665
2	170	149.97676757992247	205.41382172867802	0.5666666666666667	205.41382172867802	0.6344467315113014	0.03333333333333333	19.03340194533904
2	171	150.05472985657585	204.6183934279607	0.6	204.6183934279607	0.6373755187358304	0.03333333333333333	19.121265562074914
3	171	153.89593439860326	181.505271534273	0.6	181.505271534273	0.40796021503915175	0.03333333333333333	12.238806451174552
3	172	153.86289639957388	180.66056907792748	0.6333333333333333	180.66056907792748	0.7134318629992453	0.03333333333333333	21.40295588997736
2	172	150.19972170419956	203.57804316680514	0.6333333333333333	203.57804316680514	1.1038860021461774	0.03333333333333333	33.116580064385325
2	173	150.271512953303	202.68815513321425	0.6666666666666666	202.68815513321425	0.7961645579965848	0.03333333333333333	23.884936739897544
3	173	153.80935024766046	179.90797933450557	0.6666666666666666	179.90797933450557	0.5676807296483353	0.03333333333333333	17.030421889450057
2	174	150.22674343865916	201.7438333838392	0.7	201.7438333838392	0.8932534465772761	0.03333333333333333	26.797603397318284
3	174	153.88699864969465	178.8799846288051	0.7	178.8799846288051	1.063121328490672	0.03333333333333333	31.89363985472016
3	175	153.95058420850702	178.0838210895673	0.7333333333333333	178.0838210895673	0.6365083844825628	0.03333333333333333	19.095251534476883
