	d_Ninter(um)	t_Ninter(s)
0	178.58109753026636	0.0
1	179.05240071127403	0.03333333333333333
2	178.65688260732344	0.06666666666666667
3	178.0594400410834	0.1
4	177.291162424272	0.13333333333333333
5	177.094219294642	0.16666666666666666
6	177.32791860942598	0.2
7	177.26246759353612	0.23333333333333334
8	176.2744800432116	0.26666666666666666
9	176.64048673289582	0.3
10	176.65984817374448	0.3333333333333333
11	176.70695128848303	0.36666666666666664
12	176.73864020937057	0.4
13	176.30085101732394	0.43333333333333335
14	176.64639828480261	0.4666666666666667
15	175.62174583969298	0.5
16	175.97681331665694	0.5333333333333333
17	175.4254066645899	0.5666666666666667
18	175.0841243124872	0.6
19	174.78935480897215	0.6333333333333333
20	175.2476269005877	0.6666666666666666
21	175.11045171620802	0.7
22	174.4696972383528	0.7333333333333333
23	173.51622993880065	0.7666666666666666
24	172.8786309630469	0.8
25	172.14075723437418	0.8333333333333334
26	171.90071887726629	0.8666666666666667
27	171.37748885395717	0.9
28	171.69410855116953	0.9333333333333333
29	171.12855691433091	0.9666666666666667
30	171.2174659882483	1.0
31	171.03023054470003	1.0333333333333332
32	169.80617083563482	1.0666666666666667
33	170.19346177687933	1.1
34	169.75214380439442	1.1333333333333333
35	169.7674985956232	1.1666666666666667
36	169.63920976598848	1.2
37	169.38754229088764	1.2333333333333334
38	168.98850032632774	1.2666666666666666
39	169.14667484010053	1.3
40	168.42289113651455	1.3333333333333333
41	167.90836604953276	1.3666666666666667
42	167.8401749442483	1.4
43	167.1760474284826	1.4333333333333333
44	166.57725534619505	1.4666666666666666
45	166.65012983218577	1.5
46	166.37200948188533	1.5333333333333332
47	165.88053237830985	1.5666666666666667
48	165.46560755293282	1.6
49	165.13594711269684	1.6333333333333333
50	165.06657420217755	1.6666666666666667
51	163.74126533399328	1.7
52	163.9643369487381	1.7333333333333334
53	163.60002127198973	1.7666666666666666
54	163.71628733908486	1.8
55	162.90394282813304	1.8333333333333333
56	163.21560478702423	1.8666666666666667
57	162.22204649290956	1.9
58	162.01250405081385	1.9333333333333333
59	162.3720503839888	1.9666666666666666
60	161.84103720278782	2.0
61	161.12200901367498	2.033333333333333
62	160.88525930242992	2.0666666666666664
63	160.15001101631904	2.1
64	159.93690759663667	2.1333333333333333
65	159.02452818511247	2.1666666666666665
66	159.28958339710258	2.2
67	158.04581448374927	2.2333333333333334
68	158.22622950966735	2.2666666666666666
69	157.43558086929713	2.3
70	156.96414072821196	2.3333333333333335
71	156.81302365951245	2.3666666666666667
72	157.05843074603663	2.4
73	156.89730565896642	2.433333333333333
74	156.0050249977635	2.466666666666667
75	155.87827901746988	2.5
76	155.21263051847052	2.533333333333333
77	155.3036937014597	2.5666666666666664
78	155.09136745306108	2.6
79	155.1095641375355	2.6333333333333333
80	154.17950114467615	2.6666666666666665
81	153.92015127993923	2.7
82	153.5369319520792	2.7333333333333334
83	153.5414109219006	2.7666666666666666
84	152.88134976319353	2.8
85	152.73560121425274	2.8333333333333335
86	152.53561434138328	2.8666666666666667
87	151.90316577301633	2.9
88	151.87187750362327	2.933333333333333
89	151.39704151971807	2.966666666666667
90	151.1248015480049	3.0
91	150.7116749155224	3.033333333333333
92	150.03325683100923	3.0666666666666664
93	150.91752226973256	3.1
94	150.37046796506866	3.1333333333333333
95	150.19032185585124	3.1666666666666665
96	149.57564444484987	3.2
97	149.30309646991464	3.2333333333333334
98	148.79574946334077	3.2666666666666666
99	148.14593846787864	3.3
100	147.04929102186063	3.3333333333333335
101	147.42234697888202	3.3666666666666667
102	147.1292802843768	3.4
103	146.80176487783484	3.433333333333333
104	145.83113634669706	3.466666666666667
105	145.63136289640514	3.5
106	145.60709149297455	3.533333333333333
107	145.0687364053219	3.5666666666666664
108	145.36551772846175	3.6
109	145.0254262540191	3.6333333333333333
110	144.18452079718864	3.6666666666666665
111	144.253214276424	3.6999999999999997
112	143.9594404589533	3.7333333333333334
113	143.6233902654594	3.7666666666666666
114	143.62958316484784	3.8
115	143.25805714891192	3.8333333333333335
116	143.3755617077557	3.8666666666666667
117	142.01098125612197	3.9
118	141.81171459625045	3.933333333333333
119	141.43910037710177	3.966666666666667
120	140.84474006996385	4.0
121	140.89785187829736	4.033333333333333
122	140.49797110480074	4.066666666666666
123	140.18136775445683	4.1
124	139.72036054434025	4.133333333333333
125	138.91054112003937	4.166666666666667
126	138.80863606180196	4.2
127	138.45478493531306	4.233333333333333
128	138.64229572097616	4.266666666666667
129	138.10481203307776	4.3
130	137.7172843056547	4.333333333333333
131	138.08544527649957	4.366666666666666
132	137.0887756414968	4.4
133	136.66427897719348	4.433333333333334
134	136.61833538715572	4.466666666666667
135	135.94141772217503	4.5
136	135.66787423426555	4.533333333333333
137	135.7537184635057	4.566666666666666
138	134.8190946902006	4.6
139	134.67798410328302	4.633333333333333
140	133.76381105651825	4.666666666666667
141	134.38602134657108	4.7
142	133.2139612338172	4.733333333333333
143	132.73827593042049	4.766666666666667
144	132.50858172517113	4.8
145	131.48737210478822	4.833333333333333
146	131.68343252392083	4.866666666666666
147	130.7704416494796	4.9
148	130.57857100065962	4.933333333333334
149	131.16043360477687	4.966666666666667
150	133.1668668983738	5.0
151	137.02025570630707	5.033333333333333
152	134.62849670990272	5.066666666666666
153	132.72439967500563	5.1
