	v(um/s)	t(s)
0	0.0	0.0
1	2.3572528167667803	0.03333333333333333
2	1.717298845903958	0.06666666666666667
3	3.4141129861109945	0.1
4	2.2299076433785365	0.13333333333333333
5	4.709868960917337	0.16666666666666666
6	14.544035413596923	0.2
7	9.163423649385683	0.23333333333333334
8	4.098742576147543	0.26666666666666666
9	5.8899679497005915	0.3
10	8.175318405928628	0.3333333333333333
11	7.392518108521795	0.36666666666666664
12	6.812129317396149	0.4
13	2.061718858198047	0.43333333333333335
14	0.9201469708121489	0.4666666666666667
15	1.417111893537497	0.5
16	3.8167999568140756	0.5333333333333333
17	4.289053141767354	0.5666666666666667
18	1.149691208543722	0.6
19	1.7755076446332876	0.6333333333333333
20	1.1140565114699854	0.6666666666666666
21	7.359310597838313	0.7
22	1.4681955339914712	0.7333333333333333
23	5.477804721772253	0.7666666666666666
24	0.20702443064429837	0.8
25	2.094543152108919	0.8333333333333334
26	5.410735692457674	0.8666666666666667
27	2.629242364168813	0.9
28	1.2176739351385497	0.9333333333333333
29	2.2191328097715033	0.9666666666666667
30	1.467962053922366	1.0
31	1.640044296436223	1.0333333333333332
32	0.5250731977323422	1.0666666666666667
33	3.2615000019916742	1.1
34	6.654676236697066	1.1333333333333333
35	2.0991573938627406	1.1666666666666667
36	0.9002206204384302	1.2
37	3.8114934764073274	1.2333333333333334
38	2.2431201583893645	1.2666666666666666
39	1.0486429420223893	1.3
40	2.4136561280140736	1.3333333333333333
41	3.020905585645421	1.3666666666666667
42	0.46347204558214683	1.4
43	4.574452349019635	1.4333333333333333
44	7.065266218872771	1.4666666666666666
45	2.475161022862918	1.5
46	5.424656365894321	1.5333333333333332
47	1.1836277465531169	1.5666666666666667
48	1.8646967948908462	1.6
49	5.446701403665118	1.6333333333333333
50	1.4820807282684392	1.6666666666666667
51	1.7433823551576308	1.7
52	3.0797358149613285	1.7333333333333334
53	2.6459047171262404	1.7666666666666666
54	3.0996974944410733	1.8
55	1.585791194316399	1.8333333333333333
56	4.445902478962465	1.8666666666666667
57	0.18176969371938678	1.9
58	2.6100143969692082	1.9333333333333333
59	0.8759604361756121	1.9666666666666666
60	3.782976846681218	2.0
61	2.363192429170551	2.033333333333333
62	7.992975465571217	2.0666666666666664
63	0.14740136463062353	2.1
