id	FRAME	POSITION_X	POSITION_Y	t	y	delta_r	delta_t	v
1	419	140.3464627410217	140.29541901901078	0.0	140.29541901901078	0.0	0.03333333333333333	0.0
4	419	140.94733382712485	218.65567254184785	0.0	218.65567254184785	0.0	0.03333333333333333	0.0
1	420	140.39792683783534	139.69673485928442	0.03333333333333333	139.69673485928442	0.35926389872634434	0.03333333333333333	10.77791696179033
4	420	140.7942517736708	218.5516260372981	0.03333333333333333	218.5516260372981	0.03369510636938071	0.03333333333333333	1.0108531910814214
1	421	140.28913087228872	139.23827438606324	0.06666666666666667	139.23827438606324	0.22038263750700385	0.03333333333333333	6.611479125210115
4	421	140.8166618763944	218.2403242028748	0.06666666666666667	218.2403242028748	0.09629992211984316	0.03333333333333333	2.888997663595295
1	422	140.33852883671258	139.12101619626742	0.1	139.12101619626742	0.015864108885196286	0.03333333333333333	0.47592326655588857
4	422	140.73982013926096	218.03367324846158	0.1	218.03367324846158	0.04789053389647013	0.03333333333333333	1.436716016894104
1	423	140.36355188899557	138.83697744519122	0.13333333333333333	138.83697744519122	0.08030523358364362	0.03333333333333333	2.4091570075093087
4	423	140.71897831559858	217.7007141488724	0.13333333333333333	217.7007141488724	0.11009888894436838	0.03333333333333333	3.3029666683310515
1	424	140.42241526283829	138.40141012897578	0.16666666666666666	138.40141012897578	0.19162547917023978	0.03333333333333333	5.748764375107194
4	424	140.83447430348778	217.27800922004909	0.16666666666666666	217.27800922004909	0.19046419752897042	0.03333333333333333	5.713925925869113
1	425	140.4514493185973	138.12044153355896	0.2	138.12044153355896	0.07879872949764992	0.03333333333333333	2.3639618849294974
4	425	140.67320396496092	217.041455182857	0.2	217.041455182857	0.08096210524768342	0.03333333333333333	2.4288631574305026
4	426	140.6215098564221	216.7758579571984	0.23333333333333334	216.7758579571984	0.07227730553661896	0.03333333333333333	2.1683191660985686
1	426	140.3938523631459	138.0669759416505	0.23333333333333334	138.0669759416505	0.006023133456094413	0.03333333333333333	0.1806940036828324
4	427	140.56823600748345	216.41481821723062	0.26666666666666666	216.41481821723062	0.13187164300701856	0.03333333333333333	3.956149290210557
1	427	140.33495019316575	137.578484964777	0.26666666666666666	137.578484964777	0.24040719289878523	0.03333333333333333	7.212215786963557
4	428	140.6535513762519	216.1248391832512	0.3	216.1248391832512	0.09029587718354284	0.03333333333333333	2.708876315506285
1	428	140.3432910772177	137.42500149363528	0.3	137.42500149363528	0.02319482307743545	0.03333333333333333	0.6958446923230636
4	429	140.65936062002018	215.8833296588653	0.3333333333333333	215.8833296588653	0.057549486667929264	0.03333333333333333	1.726484600037878
1	429	140.37004973761015	137.06094999989858	0.3333333333333333	137.06094999989858	0.13193305338636085	0.03333333333333333	3.957991601590826
1	430	140.34647858271668	136.74499763994223	0.36666666666666664	136.74499763994223	0.09925117327453467	0.03333333333333333	2.97753519823604
4	430	140.55867249222985	215.62308375931732	0.36666666666666664	215.62308375931732	0.07689296966789216	0.03333333333333333	2.306789090036765
1	431	140.476935442844	136.4112420090705	0.4	136.4112420090705	0.12711998576086056	0.03333333333333333	3.813599572825817
4	431	140.50835432583276	215.26417822655185	0.4	215.26417822655185	0.130038230006186	0.03333333333333333	3.90114690018558
1	432	140.45305682455884	136.06785394331837	0.43333333333333335	136.06785394331837	0.11724710691433082	0.03333333333333333	3.5174132074299247
4	432	140.5554574990521	215.03082683573442	0.43333333333333335	215.03082683573442	0.05587585967983221	0.03333333333333333	1.6762757903949663
1	433	140.45746935202237	135.52161569333376	0.4666666666666667	135.52161569333376	0.2966233294176973	0.03333333333333333	8.89869988253092
4	433	140.53791779428045	214.73048627129742	0.4666666666666667	214.73048627129742	0.08944729344370503	0.03333333333333333	2.683418803311151
4	434	140.48897010729638	214.344380913616	0.5	214.344380913616	0.15007145054630472	0.03333333333333333	4.5021435163891415
1	434	140.4633434817433	135.4223393576585	0.5	135.4223393576585	0.009667927917691443	0.03333333333333333	0.2900378375307433
1	435	140.43567267650218	135.30424923654974	0.5333333333333333	135.30424923654974	0.014408350058625853	0.03333333333333333	0.4322505017587756
4	435	140.5633701323263	214.23771897904172	0.5333333333333333	214.23771897904172	0.0165756360690593	0.03333333333333333	0.49726908207177906
4	436	140.61716613017396	213.52110556746888	0.5666666666666667	213.52110556746888	0.5147504006077241	0.03333333333333333	15.442512018231724
1	436	140.39612114794548	134.89643402160365	0.5666666666666667	134.89643402160365	0.16640826061424	0.03333333333333333	4.9922478184272
1	437	140.46099117903114	134.55339809510613	0.6	134.55339809510613	0.12062461596969534	0.03333333333333333	3.6187384790908603
4	437	140.5340479934936	213.4777839044885	0.6	213.4777839044885	0.008582854773807509	0.03333333333333333	0.25748564321422523
4	438	140.44631659290192	213.3238655841024	0.6333333333333333	213.3238655841024	0.03085699177879045	0.03333333333333333	0.9257097533637135
1	438	140.45574348268562	134.38171743903084	0.6333333333333333	134.38171743903084	0.028994161561214347	0.03333333333333333	0.8698248468364305
1	439	140.4086976918799	134.12551855552928	0.6666666666666666	134.12551855552928	0.06695784186315662	0.03333333333333333	2.0087352558946985
4	439	140.56579838101254	213.1236100458336	0.6666666666666666	213.1236100458336	0.053603749511472135	0.03333333333333333	1.608112485344164
1	440	140.41128500769244	133.8833843182952	0.7	133.8833843182952	0.0578220882580171	0.03333333333333333	1.7346626477405132
4	440	140.51416923149264	212.66288133366436	0.7	212.66288133366436	0.21331483756326838	0.03333333333333333	6.399445126898051
1	441	140.4681451783957	133.523394402026	0.7333333333333333	133.523394402026	0.13151147894002202	0.03333333333333333	3.9453443682006606
