	v(um/s)	t(s)
0	0.0	0.0
1	20.403878771665486	0.03333333333333333
2	33.92224258913561	0.06666666666666667
3	12.131880435458951	0.1
4	26.17500881395586	0.13333333333333333
5	31.244357241147057	0.16666666666666666
6	29.564650295216808	0.2
7	22.662883876969804	0.23333333333333334
8	25.23867119870586	0.26666666666666666
9	21.46991676395607	0.3
10	27.14263877239371	0.3333333333333333
11	23.32258415850839	0.36666666666666664
12	16.90298579430327	0.4
13	25.940646826643835	0.43333333333333335
14	23.182575975925253	0.4666666666666667
15	20.87268707746637	0.5
16	19.441154895737135	0.5333333333333333
17	21.8101506962266	0.5666666666666667
18	30.62002165105619	0.6
19	17.580301370838068	0.6333333333333333
20	33.06211652911568	0.6666666666666666
21	17.28252913280663	0.7
22	29.852299562705912	0.7333333333333333
23	28.855535664949986	0.7666666666666666
24	27.59017919634338	0.8
25	23.290824660162375	0.8333333333333334
26	25.0557493363778	0.8666666666666667
27	23.37684045447658	0.9
28	33.9358472335569	0.9333333333333333
29	19.79201148173646	0.9666666666666667
30	19.597672371342924	1.0
31	40.71201978710431	1.0333333333333332
32	17.898266637281935	1.0666666666666667
33	36.97723273716496	1.1
34	28.679950731589635	1.1333333333333333
35	25.598607052141396	1.1666666666666667
36	26.98127329836465	1.2
37	23.452617140785193	1.2333333333333334
38	33.59999906181528	1.2666666666666666
39	26.166574889975948	1.3
40	31.928063476743148	1.3333333333333333
41	19.20629180083543	1.3666666666666667
42	23.367752362810982	1.4
43	23.742423644967573	1.4333333333333333
44	18.257592687307504	1.4666666666666666
45	35.603748066168436	1.5
46	14.602928851560808	1.5333333333333332
47	39.741647368216015	1.5666666666666667
48	22.723100059483272	1.6
49	22.577444736230568	1.6333333333333333
50	26.70482197811552	1.6666666666666667
51	32.35117906514368	1.7
52	24.43459007257109	1.7333333333333334
53	29.587433331716174	1.7666666666666666
54	17.338111051457894	1.8
55	36.19377389027143	1.8333333333333333
56	29.47234543363607	1.8666666666666667
57	18.41461687390405	1.9
58	28.64991776072797	1.9333333333333333
59	40.46777384300268	1.9666666666666666
60	19.573957377257475	2.0
61	20.16490979654845	2.033333333333333
62	29.923604195646554	2.0666666666666664
63	27.055948372527535	2.1
64	20.950611793074017	2.1333333333333333
65	28.735022225936113	2.1666666666666665
66	29.069179071425836	2.2
67	23.09988067388632	2.2333333333333334
68	35.34446545001438	2.2666666666666666
69	19.832441684858697	2.3
70	24.921525230327347	2.3333333333333335
71	31.747155760832563	2.3666666666666667
72	18.409300849409874	2.4
73	22.711669482406656	2.433333333333333
74	27.624063529256574	2.466666666666667
75	17.36384820331453	2.5
76	21.577057756310218	2.533333333333333
77	24.67686835038817	2.5666666666666664
78	30.664092562264088	2.6
79	23.999213391631713	2.6333333333333333
80	22.721475261287182	2.6666666666666665
81	24.16686111026612	2.7
82	19.108567253908888	2.7333333333333334
83	28.732165430394318	2.7666666666666666
84	24.975148607628277	2.8
85	26.265360571734874	2.8333333333333335
86	22.012880589664384	2.8666666666666667
87	30.039889958945174	2.9
88	34.08547120120889	2.933333333333333
89	18.424634600757937	2.966666666666667
90	37.129391388579336	3.0
91	22.30568311277881	3.033333333333333
92	20.9774926457506	3.0666666666666664
93	16.606135624979302	3.1
94	36.08870758379163	3.1333333333333333
95	15.390588880276301	3.1666666666666665
96	34.59793167797794	3.2
97	17.744311184395134	3.2333333333333334
98	28.573029125821556	3.2666666666666666
99	27.37499163750877	3.3
100	19.63655032875353	3.3333333333333335
101	30.996077127605705	3.3666666666666667
102	21.29220206124969	3.4
103	25.31298399587163	3.433333333333333
104	27.877085849893334	3.466666666666667
105	16.700973589007766	3.5
106	22.5359741387198	3.533333333333333
107	25.986837667701405	3.5666666666666664
108	28.91382170889366	3.6
109	22.865229631156947	3.6333333333333333
110	25.01995823091775	3.6666666666666665
111	15.960100631469235	3.6999999999999997
112	22.475730873084032	3.7333333333333334
113	38.93483795009476	3.7666666666666666
114	22.504156545702056	3.8
115	29.370468740456374	3.8333333333333335
116	29.464524117091763	3.8666666666666667
117	27.526346169256705	3.9
118	29.01356115589529	3.933333333333333
119	25.9033815606858	3.966666666666667
120	36.27964507801897	4.0
121	29.42869244824867	4.033333333333333
122	28.248779138929464	4.066666666666666
123	26.364263037214428	4.1
124	23.213818001973507	4.133333333333333
125	21.969559254271314	4.166666666666667
126	38.348487129752755	4.2
127	26.27217027999814	4.233333333333333
128	26.45199325333312	4.266666666666667
129	27.80126091960771	4.3
130	33.776426950314146	4.333333333333333
131	17.50701922758551	4.366666666666666
132	38.97650077688147	4.4
133	25.924971784348394	4.433333333333334
134	35.376053299420455	4.466666666666667
135	24.241979840733173	4.5
136	28.38543842662768	4.533333333333333
137	30.730413438108318	4.566666666666666
138	22.75657141727922	4.6
139	35.55275188573585	4.633333333333333
140	22.800353781494962	4.666666666666667
141	39.79450789933545	4.7
142	20.146771407546908	4.733333333333333
143	35.36276477656691	4.766666666666667
144	25.727918840140784	4.8
145	31.701286692315584	4.833333333333333
146	24.19271336619679	4.866666666666666
147	23.127981308290103	4.9
148	19.561702522718107	4.933333333333334
149	43.526862908607185	4.966666666666667
150	63.81791746452206	5.0
151	169.51308003551642	5.033333333333333
152	23.259692306816046	5.066666666666666
153	13.815426145829466	5.1
