	d_inter(um)	t_inter(s)
0	47.406365485259954	0.0
1	47.68420320274594	0.03333333333333333
2	47.68674254420605	0.06666666666666667
3	47.86669537839989	0.1
4	48.22640318954367	0.13333333333333333
5	48.24849992418502	0.16666666666666666
6	48.10842607073652	0.2
7	48.14713972800352	0.23333333333333334
8	47.214015704881504	0.26666666666666666
9	47.10708991650392	0.3
10	46.83570439872299	0.3333333333333333
11	46.828697533040014	0.36666666666666664
12	46.9921703194679	0.4
13	46.57749943708153	0.43333333333333335
14	46.74767216874616	0.4666666666666667
15	46.92415731221788	0.5
16	47.285018682673005	0.5333333333333333
17	47.41356268737741	0.5666666666666667
18	47.09111190618345	0.6
19	46.64544030330506	0.6333333333333333
20	46.333643421447896	0.6666666666666666
21	46.538087515518974	0.7
22	46.34539079870179	0.7333333333333333
23	45.947341567273064	0.7666666666666666
24	46.17273112956424	0.8
25	46.206046628955804	0.8333333333333334
26	46.1466716454751	0.8666666666666667
27	45.60373298218972	0.9
28	45.74728178405122	0.9333333333333333
29	45.47167384010248	0.9666666666666667
30	45.34746629038265	1.0
31	45.293747794096156	1.0333333333333332
32	44.79132329501351	1.0666666666666667
33	45.07358858786631	1.1
34	44.975476565744934	1.1333333333333333
35	44.50072081226971	1.1666666666666667
36	44.6369615070057	1.2
37	44.25318460194059	1.2333333333333334
38	44.34901458283523	1.2666666666666666
39	44.06687154490999	1.3
40	44.236191891335025	1.3333333333333333
41	44.09181299020538	1.3666666666666667
42	43.71384935885185	1.4
43	43.51309345517067	1.4333333333333333
44	43.33930954286194	1.4666666666666666
45	42.96252602874328	1.5
46	42.38313488307863	1.5333333333333332
47	42.43295177130426	1.5666666666666667
48	41.87893641162517	1.6
49	41.0680195211969	1.6333333333333333
50	40.78449559176665	1.6666666666666667
51	40.47068829031405	1.7
52	40.355639060156804	1.7333333333333334
53	39.6902361275662	1.7666666666666666
54	40.18088169195346	1.8
55	39.29897007584293	1.8333333333333333
56	39.81894511303449	1.8666666666666667
57	39.66376045826087	1.9
58	39.35776003151735	1.9333333333333333
59	38.961371374835295	1.9666666666666666
60	38.85050087047882	2.0
61	38.66952963321733	2.033333333333333
62	38.195417438235935	2.0666666666666664
63	37.84226599368773	2.1
64	38.044994319061836	2.1333333333333333
65	37.25121881440065	2.1666666666666665
66	36.63567996942604	2.2
67	36.95716481818613	2.2333333333333334
68	36.737139460719725	2.2666666666666666
69	36.71891702466845	2.3
70	37.17116152259149	2.3333333333333335
71	36.48982471480283	2.3666666666666667
72	36.31260233229149	2.4
73	36.168891793698535	2.433333333333333
74	35.89200016510015	2.466666666666667
75	35.63325942632754	2.5
76	35.92272870379903	2.533333333333333
77	35.60584821242129	2.5666666666666664
78	34.9287748728083	2.6
79	34.615873670158244	2.6333333333333333
80	34.490265305613256	2.6666666666666665
81	34.193064570418855	2.7
82	34.28678441447364	2.7333333333333334
83	33.98956949859766	2.7666666666666666
84	33.62901347067125	2.8
85	33.60335889209733	2.8333333333333335
86	33.57564642075857	2.8666666666666667
87	33.13487749705812	2.9
88	32.914352734004176	2.933333333333333
89	32.31513343349761	2.966666666666667
90	31.65401421287151	3.0
91	31.63941514859167	3.033333333333333
92	30.908696495012755	3.0666666666666664
93	30.771009412648155	3.1
94	30.594450643547525	3.1333333333333333
95	31.281460932269763	3.1666666666666665
96	31.016173650974913	3.2
97	31.055852525179642	3.2333333333333334
98	30.516112431543068	3.2666666666666666
99	30.43418425493147	3.3
100	30.61712740958134	3.3333333333333335
101	29.74892007533185	3.3666666666666667
102	29.67405228297532	3.4
103	29.835400032502292	3.433333333333333
104	29.478167441178478	3.466666666666667
105	29.74817560756553	3.5
106	29.574162313969094	3.533333333333333
107	29.124985665178535	3.5666666666666664
108	29.470974972688516	3.6
109	29.294883006381976	3.6333333333333333
110	28.89549239824918	3.6666666666666665
111	29.164226541094983	3.6999999999999997
112	28.833613494101876	3.7333333333333334
113	28.701068621050418	3.7666666666666666
114	28.39326792159721	3.8
115	28.592219038363815	3.8333333333333335
116	27.76070584873811	3.8666666666666667
117	27.648550916580625	3.9
118	26.806324135194686	3.933333333333333
119	27.078208245881946	3.966666666666667
120	26.468881272901704	4.0
121	26.23614160523961	4.033333333333333
122	25.961143510216075	4.066666666666666
123	25.469036113394026	4.1
124	25.430557859716625	4.133333333333333
125	25.481788117272416	4.166666666666667
126	24.71917920638156	4.2
127	24.014973731480996	4.233333333333333
128	23.721662458088836	4.266666666666667
129	23.427168080326158	4.3
130	22.946875619379128	4.333333333333333
131	23.17851772306816	4.366666666666666
132	23.096226441150463	4.4
133	23.18950888249381	4.433333333333334
134	22.528047353552065	4.466666666666667
135	23.086358234996315	4.5
136	22.36797608578758	4.533333333333333
137	22.82873349281674	4.566666666666666
138	21.915263835484033	4.6
139	22.24665922106236	4.633333333333333
140	22.078470865367617	4.666666666666667
141	22.16510113456966	4.7
142	21.58414014957007	4.733333333333333
143	21.846088063909043	4.766666666666667
144	21.96531376202539	4.8
145	21.42621094228813	4.833333333333333
146	20.972547277286026	4.866666666666666
147	21.993302167408466	4.9
148	21.74501500758553	4.933333333333334
149	21.64428278212357	4.966666666666667
150	21.672466443751002	5.0
151	21.044661917946552	5.033333333333333
152	20.924369984769847	5.066666666666666
153	21.257702088260743	5.1
154	21.358365912046516	5.133333333333333
155	21.19530422688538	5.166666666666667
156	21.169336258342593	5.2
157	21.58060506776141	5.233333333333333
158	21.700343492988996	5.266666666666667
159	22.03673028994845	5.3
160	21.613876893631325	5.333333333333333
161	20.97511361733448	5.366666666666666
