p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
1	4	4940.002316602317	2.5	241.0935015541542	373.3965462137287	1.0		12.625246738739138	3.2268257408350287	0.01231487242745407	0.018660187242617133
33	49	1280.5	41.0	241.13470405355145	362.49831200786804	0.0		134.58302069629784	1.6392417167667697	0.022689626098557524	0.010377906875504677
36	39	479.5	37.5	240.16529664716228	370.3929064294401	0.0		96.22402757647055	1.865331084802125	0.18970862252949114	0.01413997368869329
38	40	52.05714285714286	39.0	240.61691024864058	244.66130130637993	0.0		15.819462562959126	2.96426254413222	0.05668649878647112	0.04118495165373971
39	33	872.0011454753723	36.0	240.6870932693768	361.5615203706673	0.0		68.63295824070481	4.392171603520038	0.0689585974660977	0.012308592800115894
40	36	84.00591715976331	38.0	240.27321417633013	335.64676445714656	0.0		180.4393951340693	3.1205204556677617	0.11578044534314515	0.03641152924679633
43	57	3501.5008291873964	50.0	240.9816439513138	376.3091342596704	0.0		32.171273020222834	3.8635515127387206	0.21894289964708477	0.013115161019316679
44	50	2124.0	47.0	240.72957190891344	369.0841721065854	0.0		40.77672075983311	3.187711704412262	0.028596413153014304	0.01179107559673954
46	1	4769.499107142857	23.5	241.1733724160154	378.84297758937225	0.0		45.61466923577339	3.336580398528395	0.29228538946318616	0.01940519230970354
48	54	2741.4980842911878	51.0	240.88107708235123	362.0298402719399	0.0		168.2777426999433	3.044273973812308	0.05457029487500007	0.013706574743644125
49	166	1662.0	107.5	241.59532793634426	378.10079891813507	0.0		83.25075664047286	4.203649459141414	0.3606324347829405	0.009179619507159334
50	48	2330.0	49.0	240.77289684217683	357.50328799786877	0.0		18.063179260840343	3.638032654609755	0.1425834626163936	0.009772542608040861
51	53	4153.5	52.0	241.43337988296366	354.56436793477104	0.0		145.65204571481252	2.0932464598189156	0.3107087225323024	0.012389717874468418
53	46	4531.5	49.5	241.42000601281347	371.3425807980817	0.0		77.47110826473353	3.8103347531387106	0.18560447809576408	0.009652612990743116
54	43	3285.4913606911446	48.5	241.07270566889522	367.6443150481778	0.0		78.44815456668512	4.53171160081105	0.06738527430393083	0.010501426561599568
57	51	3738.5	54.0	240.80234701077848	357.16061247093324	0.0		18.94723558515755	3.837807886016487	0.14902102078804202	0.009173603299384487
166	44	1962.0007818608287	105.0	242.83414474716196	370.3532913449108	1.0		19.771998020984835	0.4441092496565416	0.05519484629212112	0.005858026113870476
