p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
26	2185	5356.492146596858	1105.5	238.94254554420866	374.5284246164824	1.0		98.77589756306418	0.8041421459620928	0.368116883373132	0.016417843005582564
40	1399	3730.49794661191	719.5	240.11908754899133	374.0102579052952	0.0		52.278978490992934	3.119550992198174	0.36988910556573656	0.012964778064965024
41	48	639.0014104372356	44.5	240.19652024040104	374.1100972336561	0.0		97.57954840347023	2.86718341132922	0.3841961589989678	0.017354926529909918
43	44	285.51223776223776	43.5	240.7683148170922	329.160291542745	0.0		85.81851214578128	3.0920795167092603	0.20193072876595422	0.02865541063367295
44	41	441.5096852300242	42.5	240.3880831020113	356.69029269909845	0.0		52.519324760694204	3.3209604359929674	0.1475187924129551	0.023843522179045316
45	43	253.0078895463511	44.0	239.95286846091815	285.6213381697251	0.0		15.811059870941703	4.559441756551696	0.03576340014362212	0.024983954524679778
46	45	23.67391304347826	45.5	237.99230489987372	277.55888762028826	1.0		99.12517012093713	1.1936424507746262	0.11619402335051843	0.10496472296570449
47	1116	2808.507510729614	581.5	240.2459935389782	368.7667268329033	0.0		69.68102780417261	3.020332221468368	0.2614714006141053	0.017705148114382684
49	26	5006.186170212766	37.5	240.55817589743685	356.71964221914436	0.0		130.07802105639226	1.7370812001990346	0.13058643228555433	0.019115368345353167
50	740	1540.0333333333333	395.0	238.78909111424403	361.4931206581366	0.0		259.77317294495845	1.0200763864025497	0.12192051996097569	0.05392099627050278
55	40	3417.441005802708	47.5	240.37574382201805	358.790679590564	1.0		142.58324597458562	4.002023748878115	0.1766034831746946	0.022969529303415566
740	811	2158.992443324937	775.5	240.65517971113474	372.65489165946127	0.0		30.3611667219345	4.560747110669584	0.19101961343987187	0.01568591793985791
775	47	2583.1050767414404	411.0	240.4953789890097	358.2659998265767	0.0		65.47767918495278	3.328922914634133	0.38465348354318574	0.019414921374823098
1680	1756	4342.2796875	1718.0	240.42478234047613	333.82078416968164	0.0		88.60931939866792	2.9170177156962693	0.41244850963822755	0.022466044864010055
1756	49	4552.004103967169	902.5	240.37745685264824	364.6176308343147	0.0		87.98425568142238	3.9260772180775527	0.10467864863177898	0.018486613689315756
