p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
3	202	1130.5	102.5	230.56698809455906	414.4396511129888	1.0		19.245783425584502	0.4733985923225488	0.170398927556913	0.008489620216549709
184	231	565.4756637168142	207.5	232.73946098291438	400.75813610483175	0.0		60.6495447990246	2.2790023632526304	0.03262211625060487	0.012956411597089077
187	729	3896.5	458.0	231.70077087654695	421.68730842135807	1.0		12.070400365029002	2.937837457439087	0.007742757725576103	0.022068536706510402
231	3	793.0	117.0	231.955962284638	425.5279353990536	0.0		94.74845744039187	6.102306409352382	0.2172843162528506	0.01126327980365674
