p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
37	39	1258.0097297297298	38.0	243.9912831601839	362.0640761605033	1.0		193.5038574526099	1.8728939574521866	0.05745676807084843	0.011797991735851636
38	37	394.50126582278483	37.5	243.3048500676344	303.8892603129933	1.0		90.69456849583669	1.1214612117615066	0.03506689243108544	0.010334480892213413
39	47	2493.0053937432576	43.0	242.31256764564856	359.998143709243	0.0		29.35578626496443	2.989177258225807	0.014676356822162192	0.006595990869947217
