p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
13	14	1390.0010787486515	13.5	228.89506147568108	393.57770277470127	1.0		21.087335158997092	3.023933185640576	0.16962018403193652	0.01921966988231879
16	13	1346.5	14.5	229.738099557428	383.5416608784616	1.0		11.859462783532031	1.8157960636685537	0.007177403809299133	0.010593883300242576
18	16	953.000524383849	17.0	228.97118142015813	390.35061778727396	1.0		82.49488868553077	4.32489029176865	0.8378584115725124	0.035552980574865826
