p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
1	24	566.0	12.5	230.1642886822589	436.6626423267293	1.0		34.95370097695015	3.2331935635055755	0.20467391347188146	0.005489901055210388
2	3	362.5	2.5	232.81671874615824	405.7952937133068	0.0		49.02581981053963	0.7696625707762021	0.0860321665996845	0.007979454702939037
3	1	510.5	2.0	232.6672402653655	416.2030183182494	0.0		27.98939021265439	2.2388002236513507	0.04002925258359073	0.008187714141905035
5	2	6.5	3.5	232.9881610076388	379.77765511289545	0.0		144.52386037666454	4.028972057240076	0.021126365853271965	0.04277057986557312
6	11	1934.5	8.5	230.38946304949081	439.0979992988622	1.0		40.56730113341651	2.2279415680684918	0.2351027216057841	0.012232213461423575
7	45	2616.0	26.0	231.0417102308115	425.9187244340008	0.0		185.93265391061954	7.784003791520815	0.08812786519099505	0.010379734877542894
11	7	2142.0	9.0	230.94663089911575	422.8389913730302	0.0		12.736161136944647	1.8363957468401413	0.020155456253118476	0.021335248303248715
12	53	3277.5	32.5	231.40663772731455	430.0974045475489	0.0		40.96883817152943	4.3277808336747725	0.04709733795292331	0.009408826386906282
24	47	1209.0	35.5	229.64909973413262	427.07213193841915	1.0		171.36968547919372	3.0287022194209117	0.12461391463582587	0.019555620610628443
45	12	3126.5	28.5	231.4012824106043	425.6636623445831	0.0		36.87141353944556	2.9740016861129726	0.05016758202194505	0.008625662188658475
47	6	1708.5	26.5	230.69549624752656	434.347917202257	1.0		82.29236616494774	1.0783405288113468	0.05907514638268523	0.008304693493623203
