p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
3	36	1517.5	19.5	275.87480307751565	319.2000566129454	1.0		98.28482278524197	2.381284283010853	0.33939896668558955	0.03097077488497978
19	125	2200.0	72.0	277.54527377790356	316.72682598174964	0.0		203.99787194979712	0.5813778166726513	0.372278142218222	0.038516784061918836
36	19	1770.0	27.5	275.5617805079484	316.80664710631487	1.0		30.55204062447587	0.4604552215678226	0.06248584553130884	0.0172671373055878
125	10	2947.5	67.5	277.6885092780428	306.5753416330666	0.0		138.08194896763405	4.298439993483374	0.4438963768728	0.049415124512341625
