p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
7	626	2447.5	316.5	241.23160518317522	424.14635308916496	1.0		109.27219433556598	2.2566415740054673	0.24908332243686315	0.028389253076774763
9	7	2055.0	8.0	241.30017879834665	424.9880568653374	1.0		154.77642430047845	4.211159606024309	0.3855409113528423	0.04006483975111839
10	99	1410.0	54.5	245.17206473509827	422.3757603394874	1.0		16.653503910030253	0.6017561456692622	0.22772265022956734	0.024237778718307842
99	9	1670.0	54.0	243.8221471989741	416.97631596568357	0.0		169.69818088432697	7.7188646936175935	0.35134209896642954	0.046880100981159835
626	1300	2677.5	963.0	241.47820420893407	423.11307652859216	1.0		31.68966151905181	0.7095511333028709	0.05795559872110979	0.01963575643470796
