p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
1	390	2397.506191950464	195.5	239.00631687781342	355.69822459900365	1.0		83.37138272178186	1.7705771580154133	0.2721903196382025	0.019845679540033457
23	43	1504.0013908205842	33.0	238.89701287964442	355.5314806137838	1.0		74.05031248937783	1.51691608551517	0.3139837400147604	0.023208210257667835
32	42	865.5146726862303	37.0	240.33023972273557	359.21450171174405	0.0		31.051770431723227	2.3404005593225565	0.11354907229149482	0.013578861153745356
33	1	2132.5247641509436	17.0	240.3936295350883	360.9795482141179	0.0		50.89339811499503	3.6403399544911297	0.0985119882845363	0.014190529448930081
37	40	233.50641025641025	38.5	239.97684090656514	311.8246016878419	0.0		52.411692506069976	2.490720445071799	0.17431660464831553	0.01770702505808151
40	45	309.5064516129032	42.5	240.7628192080343	370.6509304531173	0.0		109.46964803207398	4.48835429465098	0.2878126154066954	0.015571424901031215
42	23	1058.0219619326501	32.5	238.69158057997979	372.0030199566998	1.0		104.54087741432242	0.595873073955949	0.2909249651672394	0.012770387656656827
43	33	1748.006956521739	38.0	241.03483806600102	375.0600490595739	0.0		115.13341215665913	4.213049457074037	0.33905005848982955	0.021547677480712887
45	32	699.5	38.5	241.9906824652251	359.2757959881746	1.0		57.186534681734074	0.46969719147641625	0.1344850108399942	0.008714898017041943
390	38	2679.4938271604938	214.0	240.94570400312543	371.1158103221629	0.0		132.17315114627746	3.998754987482485	0.30221698840203454	0.01950313679281056
590	239	4136.709798994975	414.5	239.73303176350896	370.3619060025655	1.0		60.08675423930235	2.413385320379096	0.11523143615457476	0.02449772292759723
